192.168.1.26 - - [27/Jun/2018:13:41:26 +0800] "GET /website/stock HTTP/1.1" 200 42650
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/stock HTTP/1.1" 200 42650
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/stock HTTP/1.1" 200 42650
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/stock HTTP/1.1" 200 42650
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/stock HTTP/1.1" 200 42650
192.168.1.26 - - [27/Jun/2018:13:41:27 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:50:49 +0800] "GET /website/stock HTTP/1.1" 200 42694
192.168.1.26 - - [27/Jun/2018:13:50:49 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:50:49 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:50:50 +0800] "GET /website/stock HTTP/1.1" 200 42694
192.168.1.26 - - [27/Jun/2018:13:50:50 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:50:50 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:50:50 +0800] "GET /website/stock HTTP/1.1" 200 42694
192.168.1.26 - - [27/Jun/2018:13:50:50 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:51:30 +0800] "GET /website/stock HTTP/1.1" 200 42693
192.168.1.26 - - [27/Jun/2018:13:51:30 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:51:30 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:51:31 +0800] "GET /website/stock HTTP/1.1" 200 42693
192.168.1.26 - - [27/Jun/2018:13:51:31 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:51:31 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:51:31 +0800] "GET /website/stock HTTP/1.1" 200 42693
192.168.1.26 - - [27/Jun/2018:13:51:31 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:51:31 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:31 +0800] "GET /website/stock HTTP/1.1" 200 42698
192.168.1.26 - - [27/Jun/2018:13:52:31 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:32 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:32 +0800] "GET /website/stock HTTP/1.1" 200 42698
192.168.1.26 - - [27/Jun/2018:13:52:32 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:32 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:32 +0800] "GET /website/stock HTTP/1.1" 200 42698
192.168.1.26 - - [27/Jun/2018:13:52:32 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:32 +0800] "GET /website/stock HTTP/1.1" 200 42698
192.168.1.26 - - [27/Jun/2018:13:52:32 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:32 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:33 +0800] "GET /website/stock HTTP/1.1" 200 42698
192.168.1.26 - - [27/Jun/2018:13:52:33 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:33 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:33 +0800] "GET /website/stock HTTP/1.1" 200 42698
192.168.1.26 - - [27/Jun/2018:13:52:33 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:33 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:52:33 +0800] "GET /website/stock HTTP/1.1" 200 42698
192.168.1.26 - - [27/Jun/2018:13:52:33 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
